token,amount,start,end,owner,newowner,duration
498,480,1672174367,1765411200,0x857db2aa6295cce3bb4ba4f11f81c0fd58a37b6e,,1079
499,303,1672174367,1761177600,0xbdbf020c5946e0b88b3eba1ca33cc86627a25145,,1030
500,310,1672174367,1765411200,0x24172b00d662326c2588b73d333237a321e4b87d,,1079
501,301,1672174367,1765411200,0x2cafe9cba9da5a49e3ff28eb63958c2583cd552a,,1079
502,310,1672174367,1765411200,0x51795b3acb74395ee4788a03492221c2328e4861,,1079
503,313,1672174367,1765411200,0x006efb61a1fdc1972130ee465012bc0f7fb36787,,1079
504,330,1672174367,1765411200,0x403cabb8217d965ca9376df603aeabe0866e60f6,,1079
505,307,1672174367,1764806400,0xb15abb115e40b404513fbfd57e590081e6131621,,1072
506,301,1672174367,1765411200,0xa7956b8eeb7a3838146f88bb32c7171cf4143345,,1079
507,301,1672174367,1765411200,0x872f1ffdeee35a6074658b4fb185e2582db7896a,,1079
508,310,1672174367,1765411200,0x9fb3e1fdf2523ef04f25d1c69da2d12a9995e645,,1079
509,300,1672174367,1761177600,0xe6cdc77684634d400dcaa66165c51d9970262a3e,,1030
510,302,1672174367,1764806400,0xf488288a5dc55a2aa95318a47f848f573e719250,,1072
511,1954,1672174367,1765411200,0x813f739b02102990b03749ffbd00499366672f0f,,1079
512,305,1672174367,1765411200,0x091232706a5017d8a72ce69741184687556de740,,1079
513,305,1672174367,1765411200,0xc0d3a8d939d8653f0fd8fe7a0646dd3884293466,,1079
514,308,1672174367,1760572800,0x63e295e3fd59b6d9d2713d26fa91416eb0bfed1e,,1023
515,1001,1672174655,1764806400,0xce83b6564fb0f528172e0823331375f4b4ca9dad,,1072
516,455,1672174655,1765411200,0xce75cc74e98fd26c46d7006a9a535c18d8d0f9aa,,1079
517,350,1672174655,1765411200,0x91b456e682ba958d43b563a8146812fbc1cede20,,1079
518,305,1672174655,1764806400,0xfc7f98fcea58e5faff55318408db973568835585,,1072
519,405,1672174655,1760572800,0xf9a0b25695751476706ae7dca58c2ca3e2614cd3,,1023
520,310,1672174655,1765411200,0x9656c46300825ea522491cd2996c87ddcb826260,,1079
521,601,1672174655,1765411200,0x5f3fc0d59093dca9a55a5561b0db0dfe84dbde38,,1079
522,311,1672174655,1764806400,0x65b6fe7b2851c1a8848de6e93ce6c4d775521f84,,1072
523,315,1672174655,1765411200,0x02bbf01e772354228d0f66a720f48058e5f3d4c7,,1079
524,302,1672174655,1761177600,0x2f41c37e82fbb6b49ca4a9d2451a2969bf1231d1,,1030
525,315,1672174655,1765411200,0xfcf756abc8e8294f7e69214799d1d20e031a3254,,1079
526,303,1672174655,1761177600,0x82a4cec7be980a7ae57513c79dcfeed186260e99,,1030
527,310,1672174655,1761177600,0x0bec57f310940beed62897c6d7de79a6ca511a50,,1030
528,301,1672174655,1765411200,0x0d9ec0ad66d54c4245fc8c3dc5f5263904054589,,1079
529,325,1672174655,1765411200,0x3fb955502ae19eb97a3ceddc1699d9067adda20f,,1079
530,302,1672174655,1762387200,0xa75decf7d15d9226140df436405b8d1dc35cc2cc,,1044
531,307,1672174655,1764806400,0x8d51d1ba95530988c53c08507bab751406e52b02,,1072
532,325,1672174655,1764806400,0x7675c0bfba0907e615121a6b39d0e3c870b73a0b,,1072
533,327,1672174655,1765411200,0xe9d289dce390906ed2e982278f9653f7b03c3df7,,1079
534,330,1672174655,1765411200,0xe907e019d67e4002b191d5906b790f5f1ef98297,,1079
535,310,1672174655,1765411200,0xda690dab2aff13983cb0adef3dd24bd49f761a0b,,1079
536,400,1672174655,1765411200,0x8873b2f5630c38bfed1c63768a6aac9b4a1810d1,,1079
537,805,1672174655,1764806400,0x3d82bd8155005dd721dfdc311534cfde980cd11c,,1072
